Neuron_ID,Cell Type
interneuron_60,MLI1
interneuron_100,MLI1
interneuron_208,MLI1
interneuron_55,MLI1
interneuron_124,MLI1
Interneuron_120,MLI1
Interneuron_174,MLI1
Interneuron_58,MLI1
interneuron_123,MLI1
interneuron_126,MLI1
interneuron_127,MLI1
interneuron_6,MLI1
interneuron_128,MLI1
interneuron_88,MLI1
interneuron_89,MLI1
interneuron_59,MLI1
interneuron_122,MLI1
interneuron_66,MLI1
interneuron_94,MLI1
interneuron_142,MLI1
interneuron_67,MLI1
interneuron_144,MLI1
interneuron_161,MLI1
interneuron_162,MLI1
interneuron_157,MLI1
interneuron_259,MLI1
interneuron_233,MLI1
interneuron_167,MLI1
interneuron_165,MLI1
interneuron_168,MLI1
interneuron_169,MLI1
interneuron_251,MLI1
interneuron_237,MLI1
interneuron_166,MLI1
interneuron_257,MLI1
interneuron_260,MLI1
interneuron_202,MLI1
interneuron_221,MLI1
interneuron_314,MLI1
interneuron_155,MLI1
interneuron_133,MLI1
interneuron_112,MLI1
interneuron_200,MLI1
interneuron_222,MLI1
interneuron_220,MLI1
interneuron_338,MLI1
interneuron_185,MLI1
interneuron_187,MLI1
interneuron_115,MLI1
interneuron_65,MLI1
interneuron_114,MLI1
interneuron_150,MLI1
interneuron_28,MLI1
interneuron_252,MLI1
interneuron_220,MLI1
interneuron_193,MLI1
interneuron_116,MLI1
interneuron_177,MLI1
interneuron_117,MLI1
interneuron_160,MLI1
interneuron_34,MLI1
interneuron_211,MLI1
interneuron_204,MLI1
interneuron_207,MLI1
interneuron_351,MLI1
interneuron_343,MLI1
interneuron_329,MLI1
interneuron_318,MLI1
interneuron_27,MLI1
interneuron_344,MLI1
interneuron_190,MLI1
interneuron_250,MLI1
interneuron_155,MLI1
interneuron_264,MLI1
interneuron_40,MLI1
interneuron_151,MLI1
interneuron_101,MLI1
interneuron_119,MLI1
interneuron_27,MLI1
interneuron_328,MLI1
interneuron_248,MLI1
interneuron_143,MLI1
interneuron_341,MLI1
interneuron_198,MLI1
interneuron_322,MLI1
interneuron_178,MLI1
interneuron_170,MLI1
interneuron_342,MLI1
interneuron_340,MLI1
interneuron_274,MLI1
interneuron_164,MLI1
interneuron_254,MLI1
interneuron_279,MLI1
interneuron_298,MLI1
interneuron_299,MLI1
interneuron_120,MLI1
interneuron_139,MLI1
interneuron_140,MLI1
interneuron_145,MLI1
interneuron_152,MLI1
interneuron_159,MLI1
interneuron_171,MLI1
interneuron_174,MLI1
interneuron_194,MLI1
interneuron_195,MLI1
interneuron_212,MLI1
interneuron_235,MLI1
interneuron_258,MLI1
interneuron_263,MLI1
interneuron_269,MLI1
interneuron_271,MLI1
interneuron_278,MLI1
interneuron_280,MLI1
interneuron_283,MLI1
interneuron_284,MLI1
interneuron_286,MLI1
interneuron_291,MLI1
interneuron_293,MLI1
interneuron_294,MLI1
interneuron_295,MLI1
interneuron_297,MLI1
interneuron_310,MLI1
interneuron_313,MLI1
interneuron_330,MLI1
interneuron_334,MLI1
interneuron_345,MLI1
interneuron_35,MLI1
interneuron_352,MLI1
interneuron_37,MLI1
interneuron_43,MLI1
interneuron_44,MLI1
interneuron_45,MLI1
interneuron_58,MLI1
interneuron_317,MLI2
interneuron_191,MLI2
interneuron_95,MLI2
interneuron_256,MLI2
interneuron_179,MLI2
interneuron_173,MLI2
interneuron_216,MLI2
interneuron_97,MLI2
interneuron_331,MLI2
interneuron_22,MLI2
interneuron_61,MLI2
interneuron_218,MLI2
interneuron_326,MLI2
interneuron_327,MLI2
interneuron_305,MLI2
interneuron_85,MLI2
interneuron_99,MLI2
interneuron_68,MLI2
interneuron_134,MLI2
interneuron_32,MLI2
interneuron_30,MLI2
interneuron_131,MLI2
Interneuron_56,MLI2
interneuron_156,MLI2
interneuron_52,MLI2
interneuron_253,MLI2
interneuron_87,MLI2
interneuron_38,MLI2
interneuron_205,MLI2
interneuron_153,MLI2
interneuron_332,MLI2
interneuron_186,MLI2
interneuron_87,MLI2
interneuron_33,MLI2
interneuron_246,MLI2
interneuron_339,MLI2
interneuron_319,MLI2
interneuron_265,MLI2
interneuron_243,MLI2
interneuron_36,MLI2
interneuron_148,MLI2
interneuron_199,MLI2
interneuron_244,MLI2
interneuron_273,MLI2
interneuron_285,MLI2
interneuron_346,MLI2
interneuron_41,MLI2
interneuron_56,MLI2
